epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5651,2.10931,3.80268,2.06589,0.00422,0.61111,0.0264,0.01023,1.91584,3.57693,2.03052,0.0672324,0.000330986,0.000330986
2,105.954,1.8995,3.56537,1.91857,0.00504,0.73077,0.05861,0.02023,1.62088,3.34274,1.73127,0.0342258,0.000657742,0.000657742
3,145.191,1.72204,3.39428,1.79939,0.39903,0.05556,0.12643,0.04636,1.63277,3.21634,1.83824,0.00121264,0.000977899,0.000977899
4,182.996,1.71604,3.01723,1.75565,0.32758,0.4188,0.28501,0.12539,1.61291,2.76709,1.74207,0.0009703,0.0009703,0.0009703
5,220.817,1.76196,2.68785,1.75151,0.44805,0.43162,0.37359,0.16141,1.64613,2.39613,1.65632,0.0009604,0.0009604,0.0009604
6,260.063,1.71883,2.40504,1.69843,0.5291,0.50855,0.42143,0.19992,1.62771,2.1477,1.66687,0.0009505,0.0009505,0.0009505
7,298.587,1.7054,2.35511,1.6935,0.57564,0.5,0.42661,0.19335,1.6388,2.09486,1.67078,0.0009406,0.0009406,0.0009406
8,337.576,1.65428,2.21626,1.6568,0.64781,0.56598,0.48527,0.22507,1.57403,2.0053,1.60792,0.0009307,0.0009307,0.0009307
9,375.746,1.69184,2.11576,1.65476,0.57146,0.56988,0.49444,0.23648,1.5189,1.9692,1.57405,0.0009208,0.0009208,0.0009208
10,413.764,1.62799,2.05405,1.6029,0.71919,0.60256,0.55508,0.25632,1.54455,1.89855,1.60094,0.0009109,0.0009109,0.0009109
11,451.005,1.61378,1.96177,1.6004,0.68102,0.61111,0.59292,0.2663,1.57547,1.86515,1.56977,0.000901,0.000901,0.000901
12,489.286,1.58699,1.94733,1.60162,0.66648,0.64902,0.55969,0.27381,1.53487,1.78842,1.56174,0.0008911,0.0008911,0.0008911
13,527.169,1.57353,1.8738,1.57663,0.7255,0.66667,0.61067,0.30531,1.49712,1.64989,1.54937,0.0008812,0.0008812,0.0008812
14,564.985,1.56796,1.84173,1.58548,0.68766,0.62099,0.56583,0.2683,1.48801,1.68918,1.52628,0.0008713,0.0008713,0.0008713
15,603.652,1.56281,1.75638,1.54712,0.74418,0.67132,0.63257,0.30035,1.50485,1.64387,1.54079,0.0008614,0.0008614,0.0008614
16,642.771,1.51471,1.6646,1.52361,0.74956,0.65231,0.61725,0.30401,1.49161,1.6598,1.56859,0.0008515,0.0008515,0.0008515
17,680.99,1.55161,1.63361,1.54602,0.70527,0.66239,0.62112,0.28872,1.50378,1.63039,1.56036,0.0008416,0.0008416,0.0008416
18,720.024,1.51932,1.62028,1.50759,0.69275,0.68803,0.66607,0.3249,1.45151,1.48067,1.49758,0.0008317,0.0008317,0.0008317
19,758.081,1.50006,1.57959,1.51166,0.7254,0.67094,0.61981,0.28663,1.51127,1.58522,1.5132,0.0008218,0.0008218,0.0008218
20,795.249,1.51241,1.5416,1.49965,0.67043,0.7265,0.61071,0.29072,1.44764,1.55997,1.47891,0.0008119,0.0008119,0.0008119
21,833.761,1.49806,1.56064,1.50626,0.70658,0.6895,0.60587,0.29336,1.47089,1.51587,1.48225,0.000802,0.000802,0.000802
22,871.002,1.46069,1.52527,1.48546,0.71431,0.72658,0.6348,0.30544,1.50524,1.52208,1.52626,0.0007921,0.0007921,0.0007921
23,909.951,1.47142,1.47562,1.48065,0.73217,0.68927,0.63244,0.30367,1.47511,1.42291,1.49613,0.0007822,0.0007822,0.0007822
24,948.476,1.48346,1.48778,1.49804,0.71253,0.71795,0.63284,0.30416,1.48266,1.45618,1.49355,0.0007723,0.0007723,0.0007723
25,985.85,1.44274,1.43285,1.49698,0.71927,0.70085,0.63372,0.29784,1.49977,1.40499,1.55808,0.0007624,0.0007624,0.0007624
26,1023.36,1.46715,1.41711,1.47669,0.74013,0.67949,0.63489,0.29905,1.48057,1.43483,1.49206,0.0007525,0.0007525,0.0007525
